ID,Inicio,Fin,Duración_s,Caudal_medio_Lmin,Caudal_pico_Lmin,Volumen_frio_L,Volumen_caliente_L,Volumen_total_L,Proporcion_caliente_%
53,2025-09-02 14:58:00,2025-09-03 08:17:00,62340.0,732.598,1469.0,761168.802,0.0,761168.802,0.0
54,2025-09-03 10:24:00,2025-09-03 12:27:00,7380.0,1405.201,1475.0,172839.6,0.074,172839.674,0.0
55,2025-09-03 13:10:00,2025-09-03 13:53:00,2580.0,1411.501,1428.003,60694.5,0.064,60694.564,0.0
56,2025-09-03 14:02:00,2025-09-03 14:02:00,0.0,2295.0,2295.0,0.0,0.0,0.0,0.0
57,2025-09-03 15:01:00,2025-09-03 16:09:00,4080.0,1430.5,1466.0,97274.0,0.0,97274.0,0.0
58,2025-09-03 18:20:00,2025-09-03 19:35:00,4500.0,1308.0,1339.0,98100.0,0.0,98100.0,0.0
59,2025-09-04 08:00:00,2025-09-04 09:01:00,3660.0,1321.894,2537.0,80635.453,0.061,80635.514,0.0
60,2025-09-04 09:01:00,2025-09-04 11:18:00,8220.0,682.679,1463.0,93527.0,0.068,93527.069,0.0
61,2025-09-04 11:54:00,2025-09-04 12:22:00,1680.0,1791.667,2779.0,50166.667,0.0,50166.667,0.0
62,2025-09-04 12:50:00,2025-09-05 12:19:00,84540.0,995.092,2829.0,1402084.628,0.249,1402084.877,0.0
63,2025-09-05 12:32:00,2025-09-05 12:32:00,0.0,1345.0,1345.0,0.0,0.0,0.0,0.0
64,2025-09-05 15:01:00,2025-09-08 12:15:00,249240.0,402.477,1351.0,1671888.627,2.492,1671891.12,0.0
65,2025-09-08 12:15:00,2025-09-08 12:15:00,0.0,0.496,0.496,0.0,0.0,0.0,0.0
66,2025-09-08 12:49:00,2025-09-08 12:49:00,0.0,0.718,0.982,0.0,0.0,0.0,0.0
67,2025-09-08 13:52:00,2025-09-08 14:15:00,1380.0,1272.5,1274.0,29267.5,0.0,29267.5,0.0
68,2025-09-08 14:36:00,2025-09-09 09:04:00,66480.0,1315.667,1440.0,1457758.667,0.0,1457758.667,0.0
69,2025-09-09 09:15:00,2025-09-09 09:15:00,0.0,0.678,0.678,0.0,0.0,0.0,0.0
70,2025-09-09 09:15:00,2025-09-09 12:57:00,13320.0,1036.637,1466.0,230133.515,0.0,230133.515,0.0
71,2025-09-09 13:12:00,2025-09-10 12:50:00,85080.0,765.159,3142.0,727410.426,357585.213,1084995.639,32.96
72,2025-09-10 12:52:00,2025-09-10 12:52:00,0.0,1434.0,1434.0,0.0,0.0,0.0,0.0
73,2025-09-10 13:16:00,2025-09-10 13:30:00,840.0,1364.5,1366.0,0.0,19103.0,19103.0,100.0
74,2025-09-10 13:57:00,2025-09-11 09:58:00,72060.0,1044.484,1552.0,0.0,1254425.066,1254425.066,100.0
75,2025-09-11 10:00:00,2025-09-11 12:17:00,8220.0,821.081,1381.0,0.0,112488.07,112488.07,100.0
76,2025-09-11 12:19:00,2025-09-11 12:20:00,60.0,1345.001,1410.003,1345.0,0.002,1345.002,0.0
77,2025-09-11 13:53:00,2025-09-11 13:57:00,240.0,1640.5,1847.0,6562.0,0.0,6562.0,0.0
78,2025-09-11 14:18:00,2025-09-11 14:59:00,2460.0,1164.061,3543.0,47726.511,0.0,47726.511,0.0
79,2025-09-11 15:36:00,2025-09-11 15:36:00,0.0,1463.0,1463.0,0.0,0.0,0.0,0.0
80,2025-09-11 15:46:00,2025-09-11 15:46:00,0.0,2732.0,2732.0,0.0,0.0,0.0,0.0
81,2025-09-11 17:46:00,2025-09-12 10:44:00,61080.0,1390.218,3782.0,1415241.924,0.0,1415241.924,0.0
82,2025-09-12 11:14:00,2025-09-12 11:14:00,0.0,0.643,0.699,0.0,0.0,0.0,0.0
83,2025-09-12 11:31:00,2025-09-12 13:38:00,7620.0,1215.061,2519.0,154312.715,0.048,154312.763,0.0
84,2025-09-12 14:02:00,2025-09-12 15:17:00,4500.0,1475.0,1575.0,110625.0,0.0,110625.0,0.0
85,2025-09-15 09:12:00,2025-09-15 09:12:00,0.0,1145.0,1145.0,0.0,0.0,0.0,0.0
86,2025-09-15 10:54:00,2025-09-16 10:21:00,84420.0,1002.807,2260.0,1410949.361,0.264,1410949.625,0.0
87,2025-09-16 10:51:00,2025-09-16 12:26:00,5700.0,1054.719,1416.0,100198.305,0.0,100198.305,0.0
88,2025-09-16 12:26:00,2025-09-16 12:26:00,0.0,0.336,0.336,0.0,0.0,0.0,0.0
89,2025-09-16 14:14:00,2025-09-16 16:35:00,8460.0,1417.25,1457.0,199832.25,0.0,199832.25,0.0
90,2025-09-16 16:52:00,2025-09-17 10:07:00,62100.0,753.675,1410.0,780054.039,0.0,780054.039,0.0
91,2025-09-17 10:51:00,2025-09-17 10:51:00,0.0,1339.0,1339.0,0.0,0.0,0.0,0.0
92,2025-09-17 11:06:00,2025-09-17 15:00:00,14040.0,1045.881,1717.003,244736.06,0.14,244736.201,0.0
93,2025-09-17 15:19:00,2025-09-17 15:19:00,0.0,1283.003,1283.003,0.0,0.0,0.0,0.0
94,2025-09-17 18:54:00,2025-09-18 13:02:00,65280.0,424.961,1510.003,462356.698,0.979,462357.677,0.0
95,2025-09-18 13:38:00,2025-09-18 15:34:00,6960.0,951.121,1493.0,110329.997,0.039,110330.036,0.0
96,2025-09-19 10:11:00,2025-09-19 10:11:00,0.0,581.315,1162.003,0.0,0.0,0.0,0.0
97,2025-09-19 10:23:00,2025-09-19 12:49:00,8760.0,1550.25,2392.0,226336.5,0.0,226336.5,0.0
98,2025-09-19 13:36:00,2025-09-20 18:59:00,105780.0,436.96,1351.0,770360.774,0.0,770360.774,0.0
99,2025-09-22 07:51:00,2025-09-22 10:59:00,11280.0,1291.667,1404.0,242833.333,0.0,242833.333,0.0
100,2025-09-22 11:01:00,2025-09-22 13:08:00,7620.0,1110.506,3103.0,141034.211,0.038,141034.249,0.0
101,2025-09-22 13:15:00,2025-09-22 13:48:00,1980.0,972.461,1578.0,32091.213,0.0,32091.213,0.0
102,2025-09-22 14:06:00,2025-09-22 15:29:00,4980.0,1361.5,1404.0,113004.5,0.0,113004.5,0.0
103,2025-09-22 16:28:00,2025-09-22 16:28:00,0.0,1407.003,1407.003,0.0,0.0,0.0,0.0
104,2025-09-22 17:27:00,2025-09-23 10:12:00,60300.0,1428.8,1501.0,1435944.0,0.0,1435944.0,0.0
105,2025-09-23 10:55:00,2025-09-23 13:07:00,7920.0,528.912,3274.0,69816.325,0.0,69816.325,0.0
